Application ID,Application Code,Name,Max Criticality,Confidentiality,Integrity,Availability,Authenticity
79E7ABDC58C64B33,AID289,Puppet,N,N,N,N,N
79E7AAED58C6498F,AID284,GitHub,MA,MA,MA,MA,MA
,,,,,,,
92E79414562F5669,AID061,M7 Auction,MI,MI,MI,MI,MI
70E871AF5AC475B6,AID388,Digital Workplace Desktop Applications,MI,MI,MI,N,N
08EB12A15ABA4AAB,AID367,Market Supervision Toolset Cash,N,N,N,N,N
C5F2E65A5AB42955,AID364,T7-Nodal,N,N,N,N,N
,,,,,,,
F1F305565A0C51C7,AID319,Sametime Advanced,N,N,N,N,N
,,,,,,,
F1F3048B5A0C4E73,AID316,(DEL) Skype for Business,N,N,N,N,N
F1F304CC5A0C4ECA,AID317,(DEL) SharePoint Designer,N,N,N,N,N
,,,,,,,
7EF59417598C3448,1CID0946 ,WMB Timeline,CR,CR,CR,MI,CR
06F70F275A9904F6,AID358,T7-CLOB,N,N,N,N,N
